month,day,Dry Bulb Temp(avg),Dry Bulb Temp(low),Dry Bulb Temp(high)
1,1,69.005005,57.92,79.880005
1,2,65.51,56.12,78.26
1,3,65,48.2,80.96
1,4,67.985,48.74,85.64
1,5,69.605,55.04,85.1
1,6,68.3525,55.04,83.119995
1,7,66.9575,54.32,78.8
1,8,67.055,56.12,79.16
1,9,70.1675,55.940002,85.82
1,10,70.1675,56.3,84.560005
1,11,70.07,54.68,84.92
1,12,69.05,55.22,82.94
1,13,68.75,54.14,82.58
1,14,70.152504,56.3,84.38
1,15,69.455,55.4,85.64
1,16,66.0125,51.26,83.84
1,17,63.492496,45.86,78.26
1,18,65.682495,47.3,84.92
1,19,67.3625,49.64,86.9
1,20,64.7675,45.32,84.2
1,21,61.062496,40.82,77.72
1,22,62.059998,45.86,78.26
1,23,62.1425,46.58,78.08
1,24,66.4925,48.92,84.92
1,25,67.88,51.08,84.38
1,26,69.3875,51.440002,86.18
1,27,71.6975,55.22,88.7
1,28,71.255005,57.2,85.46001
1,29,69.792496,52.34,87.439995
1,30,71.0075,50.36,87.439995
1,31,72.432495,51.98,86.72
2,1,70.43,52.88,90.14
2,2,70.41499,50.18,90.32
2,3,70.100006,49.64,90.32
2,4,71.645,53.24,92.479996
2,5,70.8425,50.36,92.12
2,6,70.43,51.98,91.58
2,7,71.0225,52.34,89.6
2,8,71.622505,56.12,86.9
2,9,71.6075,57.38,86.53999
2,10,73.865005,57.2,90.5
2,11,74.337494,60.260002,89.6
2,12,75.7625,61.88,90.32
2,13,74.787506,61.7,88.7
2,14,74.3675,59.36,89.6
2,15,71.6075,59.36,86.9
2,16,70.64,56.12,85.64
2,17,70.58,52.52,86.36
2,18,69.2,54.5,80.96
2,19,67.5125,46.940002,83.479996
2,20,65.345,45.86,84.2
2,21,65.99,45.68,83.479996
2,22,67.805,49.64,84.560005
2,23,68.6375,52.7,85.46001
2,24,69.4475,52.7,87.26
2,25,70.06999,52.52,86
2,26,71.6675,53.6,88.16
2,27,73.385,54.32,90.86
2,28,74.09,56.12,86.72
3,1,73.9025,55.4,92.12
3,2,75.155,55.22,93.560005
3,3,76.115,55.940002,95.72
3,4,75.6725,56.66,93.92
3,5,75.4325,56.12,94.64
3,6,74.66,57.02,93.2
3,7,74.7275,57.2,95
3,8,74.285,52.88,96.979996
3,9,73.94,54.5,93.2
3,10,74.2175,57.02,92.3
3,11,76.6625,57.739998,94.46001
3,12,76.565,58.1,95.18
3,13,78.89751,58.280003,96.8
3,14,80.3825,62.42,97.520004
3,15,79.5275,62.6,96.62
3,16,78.47,61.519997,96.08
3,17,79.36251,58.64,98.96001
3,18,78.95,57.739998,97.88
3,19,79.025,57.739998,98.96001
3,20,80.45,58.280003,101.12
3,21,80.292496,60.44,99.68
3,22,81.927505,62.06,100.58
3,23,82.22,62.06,98.24
3,24,82.82001,63.32,100.03999
3,25,81.927505,63.14,96.8
3,26,82.9025,64.58,100.03999
3,27,83.68999,65.48,100.4
3,28,81.755,65.3,96.8
3,29,81.89751,65.84,98.6
3,30,79.5125,66.02,92.84
3,31,78.784996,60.260002,94.64
4,1,80.652504,60.44,97.88
4,2,79.887505,59.54,96.08
4,3,80.03,63.14,97.16
4,4,80.24,63.32,96.439995
4,5,79.024994,62.6,92.479996
4,6,79.354996,60.8,94.64
4,7,81.395004,60.44,97.520004
4,8,82.055,64.76,97.88
4,9,81.395,64.76,97.88
4,10,83.57,67.82,99.32
4,11,81.77,68.72,96.8
4,12,83.6225,68,98.24
4,13,85.20499,67.1,101.84
4,14,85.19,66.380005,100.4
4,15,85.63249,69.44,101.479996
4,16,84.560005,66.92,101.66
4,17,84.2675,66.56,100.4
4,18,82.27249,65.119995,98.24
4,19,82.137505,65.48,97.88
4,20,85.055,66.02,102.92
4,21,84.27501,66.2,99.32
